iter	Passed	Remaining
579	1602	1160
580	1604	1157
581	1607	1154
582	1609	1151
583	1613	1149
584	1615	1146
585	1618	1143
586	1621	1140
587	1623	1137
588	1626	1134
589	1629	1132
590	1632	1129
591	1634	1126
592	1637	1124
593	1640	1121
594	1643	1118
595	1645	1115
596	1648	1112
597	1651	1109
598	1654	1107
599	1656	1104
600	1659	1101
601	1662	1098
602	1665	1096
603	1667	1093
604	1670	1090
605	1673	1087
606	1676	1085
607	1678	1082
608	1681	1079
609	1684	1076
610	1687	1074
611	1690	1071
612	1692	1068
613	1695	1065
614	1698	1063
615	1700	1060
616	1703	1057
617	1706	1054
618	1709	1051
619	1711	1049
620	1714	1046
621	1717	1043
622	1719	1040
623	1722	1037
624	1724	1034
625	1727	1032
626	1730	1029
627	1733	1026
628	1735	1023
629	1738	1020
630	1740	1017
631	1743	1015
632	1745	1012
633	1748	1009
634	1751	1006
635	1754	1004
636	1757	1001
637	1759	998
638	1762	995
639	1764	992
640	1767	990
641	1770	987
642	1773	984
643	1775	981
644	1778	978
645	1780	975
646	1783	973
647	1786	970
648	1788	967
649	1791	964
650	1795	962
651	1797	959
652	1800	956
653	1802	953
654	1805	950
655	1808	948
656	1811	945
657	1813	942
658	1816	939
659	1819	937
660	1822	934
661	1824	931
662	1827	928
663	1830	926
664	1832	923
665	1836	920
666	1839	918
667	1841	915
668	1845	913
669	1848	910
670	1851	907
671	1853	904
672	1856	902
673	1859	899
674	1862	896
675	1865	894
676	1868	891
677	1872	889
678	1874	886
679	1877	883
680	1880	880
681	1883	878
682	1886	875
683	1889	872
684	1891	870
685	1894	867
686	1898	864
687	1900	862
688	1903	859
689	1906	856
690	1909	853
691	1913	851
692	1915	848
693	1918	846
694	1921	843
695	1924	840
696	1927	837
697	1929	834
698	1932	832
699	1934	829
700	1938	826
701	1940	823
702	1943	821
703	1947	818
704	1950	816
705	1953	813
706	1955	810
707	1958	807
708	1962	805
709	1965	802
710	1968	800
711	1971	797
712	1974	794
713	1977	792
714	1980	789
715	1982	786
716	1985	783
717	1988	781
718	1991	778
719	1994	775
720	1997	772
721	2000	770
722	2002	767
723	2005	764
724	2008	761
725	2011	759
726	2014	756
727	2017	753
728	2020	751
729	2023	748
730	2026	745
731	2028	742
732	2031	739
733	2034	737
734	2037	734
735	2040	731
736	2043	729
737	2046	726
738	2048	723
739	2051	720
740	2054	718
741	2058	715
742	2061	713
743	2064	710
744	2067	707
745	2070	704
746	2072	702
747	2075	699
748	2078	696
749	2081	693
750	2084	691
751	2087	688
752	2089	685
753	2092	682
754	2095	680
755	2099	677
756	2103	675
757	2105	672
758	2109	669
759	2111	666
760	2114	664
761	2117	661
762	2120	658
763	2123	655
764	2125	653
765	2129	650
766	2131	647
767	2134	644
768	2137	641
769	2139	639
770	2142	636
771	2145	633
772	2148	630
773	2151	628
774	2154	625
775	2157	622
776	2160	619
777	2162	617
778	2165	614
779	2168	611
780	2172	609
781	2175	606
782	2178	603
783	2181	601
784	2184	598
785	2187	595
786	2190	592
787	2192	589
788	2196	587
789	2199	584
790	2202	581
791	2205	579
792	2209	576
793	2211	573
794	2214	571
795	2217	568
796	2220	565
797	2223	562
798	2226	560
799	2229	557
800	2232	554
801	2235	551
802	2238	549
803	2240	546
804	2244	543
805	2247	541
806	2250	538
807	2253	535
808	2256	532
809	2270	532
810	2272	529
811	2275	526
812	2277	523
813	2280	521
814	2283	518
815	2286	515
816	2288	512
817	2291	509
818	2293	506
819	2296	504
820	2298	501
821	2301	498
822	2304	495
823	2306	492
824	2309	489
825	2312	487
826	2314	484
827	2317	481
828	2319	478
829	2322	475
830	2324	472
831	2327	470
832	2330	467
833	2333	464
834	2335	461
835	2339	459
836	2342	456
837	2345	453
838	2348	450
839	2351	447
840	2354	445
841	2356	442
842	2359	439
843	2362	436
844	2365	433
845	2368	431
846	2371	428
847	2373	425
848	2376	422
849	2379	419
850	2382	417
851	2385	414
852	2388	411
853	2390	408
854	2393	405
855	2396	403
856	2398	400
857	2401	397
858	2403	394
859	2406	391
860	2408	388
861	2411	386
862	2414	383
863	2417	380
864	2419	377
865	2422	374
866	2425	372
867	2428	369
868	2430	366
869	2433	363
870	2437	361
871	2440	358
872	2443	355
873	2445	352
874	2448	349
875	2451	346
876	2453	344
877	2456	341
878	2459	338
879	2461	335
880	2464	332
881	2467	330
882	2469	327
883	2472	324
884	2475	321
885	2480	319
886	2485	316
887	2489	313
888	2491	311
889	2496	308
890	2500	305
891	2503	303
892	2506	300
893	2508	297
894	2511	294
895	2514	291
896	2517	289
897	2519	286
898	2522	283
899	2525	280
900	2528	277
901	2531	275
902	2534	272
903	2536	269
904	2539	266
905	2542	263
906	2545	260
907	2548	258
908	2551	255
909	2554	252
910	2558	249
911	2561	247
912	2564	244
913	2567	241
914	2570	238
915	2572	235
916	2575	233
917	2578	230
918	2581	227
919	2583	224
920	2586	221
921	2589	219
922	2592	216
923	2594	213
924	2597	210
